week,coin,network,address,balance
2024-01-01,BTC,BNB,bnb1fnd0k5l4p3ck2j9x9dp36chk059w977pszdgdz,
2024-01-01,BTC,BNB,bnb1lsmt5a8vqqus5fwslx8pyyemgjtg4y6ugj308t,
2024-01-01,BTC,BNB,bnb1u2agwjat20494fmc6jnuau0ls937cfjn4pjwtn,
2024-01-01,BTC,BSC,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,
2024-01-01,BTC,BSC,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,
2024-01-01,BTC,BSC,0xf977814e90da44bfa03b6295a0616a897441acec,
2024-01-01,BTC,BTC,1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,11215.00713558
2024-01-01,BTC,BTC,1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,21695.87994571
2024-01-01,BTC,BTC,34GUzCVLbdkMQ2UdVTaA4nxPwoovVS7y2J,1180.99985699
2024-01-01,BTC,BTC,34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,16306.62932552
2024-01-01,BTC,BTC,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,248597.53044642
2024-01-01,BTC,BTC,36zSLdRv1jyewjaC12fqK5fptn7PqewunL,8.9e-06
2024-01-01,BTC,BTC,38DN2uFMZPiHLHJigfv4kWC9JWJrNnhLcn,8.9e-06
2024-01-01,BTC,BTC,38Xnrq8MZiKmYmwobbYdZQ5nnCbX1qvQfE,1.993e-05
2024-01-01,BTC,BTC,395vnFScKQ1ay695C6v7gf89UzoFpx3WuJ,1758.53038842
2024-01-01,BTC,BTC,39884E3j6KZj82FK4vcCrkUvWYL5MQaS3v,0.00060591
2024-01-01,BTC,BTC,3AeUiDpPPUrUBS377584sFCpx8KLfpX9Ry,467.51317022
2024-01-01,BTC,BTC,3AtnehKDkFPC1bKvdrEVPSRGCtxQH8F1R8,3.816e-05
2024-01-01,BTC,BTC,3CySuFKbBS29M7rE5iJakZRNqb3msMeFoN,2776.92688384
2024-01-01,BTC,BTC,3EVVc8e2rxwUuERtdJCduWig8DnpsUqyA6,3.276e-05
2024-01-01,BTC,BTC,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,31275.3523796
2024-01-01,BTC,BTC,3HdGoUTbcztBnS7UzY4vSPYhwr424CiWAA,1999.91707484
2024-01-01,BTC,BTC,3JFJPpH8Chwo7CDbyYQ4XcfgcjEP1FGRMJ,193.94848973
2024-01-01,BTC,BTC,3JJmF63ifcamPLiAmLgG96RA599yNtY3EQ,6.66e-06
2024-01-01,BTC,BTC,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,37927.07803192
2024-01-01,BTC,BTC,3LcgLHzTvjLKBixBvkKGiadtiw2GBSKKqH,1999.7978025
2024-01-01,BTC,BTC,3LtrsjtyLsHoG8WQMe2RFw3de4pLTQZNcY,41.05205835
2024-01-01,BTC,BTC,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,142775.68638158
2024-01-01,BTC,BTC,3Me9QACjioepv2L2oKTC9QQ87NH6vFe1Zj,192.5214804
2024-01-01,BTC,BTC,3NXCvmLGz9SxYi6TnjbBQfQMcwiZ1iQETa,541.06195521
2024-01-01,BTC,BTC,3NjHh71XgjikBoTNYdWgXiNeZcLaKNThgb,888.7353096
2024-01-01,BTC,BTC,3Qxak1CZhLyZ7GVckKphLURdLBCjMfz9bA,5.46e-06
2024-01-01,BTC,BTC,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,11820.72038301
2024-01-01,BTC,ETH,0x21a31ee1afc51d94c2efccaa2092ad1028285549,
2024-01-01,BTC,ETH,0x28c6c06298d514db089934071355e5743bf21d60,
