date,btc_price
2024-01-01,42475.23
2024-01-08,43632.0
2024-01-15,42279.75
2024-01-22,41657.43
2024-01-29,41971.42
2024-02-05,42360.96
2024-02-12,48604.0
2024-02-19,52183.72
2024-02-26,51678.9
2024-03-04,63459.3
2024-03-11,68095.99
2024-03-18,67301.94
2024-03-25,66577.34
2024-04-01,71152.86
2024-04-08,69325.99
2024-04-15,65485.23
2024-04-22,64908.96
2024-04-29,63257.43
2024-05-06,64218.02
2024-05-13,61512.89
2024-05-20,66459.99
2024-05-27,68821.71
2024-06-03,67823.99
2024-06-10,69559.99
2024-06-17,66583.96
2024-06-24,63080.0
2024-07-01,62931.99
2024-07-08,55094.0
2024-07-15,61211.99
2024-07-22,68188.01
2024-07-29,68714.01
2024-08-05,56174.02
2024-08-12,58450.0
2024-08-19,58346.03
2024-08-26,64111.01
2024-09-02,57467.24
2024-09-09,55045.0
2024-09-16,58666.36
2024-09-23,63577.88
2024-09-30,65463.85
